ID,Description,Start Time,End Time,Total Time
0,StartEndTime,1681308717.6909714,1681308720.600083,2.909111738204956
0,StartEndTime,1681309251.704281,1681309254.8790486,3.17476749420166
2,StartEndTime,1681309259.9379816,1681309262.9457464,3.0077648162841797
4,StartEndTime,1681309267.9941635,1681309270.8525805,2.85841703414917
0,StartEndTime,1681309275.9077084,1681309278.72628,2.8185715675354004
2,StartEndTime,1681309283.7576249,1681309286.4693046,2.711679697036743
4,StartEndTime,1681309291.5031538,1681309294.470385,2.967231273651123
0,StartEndTime,1681309299.498379,1681309302.1906075,2.6922285556793213
2,StartEndTime,1681309307.2158408,1681309309.939238,2.7233972549438477
4,StartEndTime,1681309314.9705749,1681309317.804215,2.8336400985717773
0,StartEndTime,1681309322.8363779,1681309326.1051457,3.268767833709717
0,StartEndTime,1681309422.0306337,1681309424.8399007,2.809267044067383
2,StartEndTime,1681309429.8890173,1681309432.9392505,3.0502331256866455
4,StartEndTime,1681309437.9678633,1681309441.258565,3.2907016277313232
0,StartEndTime,1681309446.2935772,1681309449.1429112,2.8493340015411377
2,StartEndTime,1681309454.1726105,1681309457.7792673,3.606656789779663
0,StartEndTime,1681309610.7521112,1681309613.5244977,2.7723865509033203
2,StartEndTime,1681309618.5682936,1681309621.3376799,2.7693862915039062
4,StartEndTime,1681309626.3672812,1681309628.9974003,2.6301190853118896
0,StartEndTime,1681309634.0261724,1681309636.7096205,2.683448076248169
2,StartEndTime,1681309641.7454033,1681309644.109466,2.364062786102295
4,StartEndTime,1681309649.1314433,1681309651.6410215,2.509578227996826
0,StartEndTime,1681309656.6646464,1681309659.1617887,2.4971423149108887
2,StartEndTime,1681309664.1957438,1681309666.6261454,2.430401563644409
4,StartEndTime,1681309671.6490607,1681309674.1469593,2.497898578643799
0,StartEndTime,1681309679.1787446,1681309681.9065454,2.7278008460998535
2,StartEndTime,1681309686.937551,1681309689.5214672,2.583916187286377
4,StartEndTime,1681309694.5619342,1681309697.1585898,2.5966556072235107
0,StartEndTime,1681309702.1837955,1681309704.7036247,2.519829273223877
2,StartEndTime,1681309709.7209964,1681309712.2707326,2.549736261367798
4,StartEndTime,1681309717.2955725,1681309719.7929525,2.497380018234253
0,StartEndTime,1681309724.8226662,1681309727.256324,2.4336578845977783
2,StartEndTime,1681309732.2748373,1681309734.465462,2.190624713897705
4,StartEndTime,1681309739.511607,1681309742.4322731,2.920666217803955
0,StartEndTime,1681309747.4717405,1681309750.003575,2.531834602355957
2,StartEndTime,1681309755.0294285,1681309757.601162,2.5717334747314453
4,StartEndTime,1681309762.6340852,1681309765.0757556,2.4416704177856445
0,StartEndTime,1681309770.1079006,1681309772.7647874,2.6568868160247803
2,StartEndTime,1681309777.794617,1681309780.3474426,2.552825689315796
4,StartEndTime,1681309785.3739495,1681309787.8266203,2.4526708126068115
0,StartEndTime,1681309792.8671057,1681309795.2160344,2.348928689956665
2,StartEndTime,1681309800.253505,1681309802.8532894,2.5997843742370605
4,StartEndTime,1681309807.877827,1681309810.3329418,2.4551148414611816
0,StartEndTime,1681309815.3622956,1681309817.8323789,2.470083236694336
2,StartEndTime,1681309822.852097,1681309825.2149687,2.3628716468811035
4,StartEndTime,1681309830.247919,1681309832.894672,2.6467528343200684
0,StartEndTime,1681309837.9370358,1681309840.3517444,2.4147086143493652
2,StartEndTime,1681309845.370066,1681309847.862367,2.4923009872436523
4,StartEndTime,1681309852.8930895,1681309855.4885657,2.5954761505126953
0,StartEndTime,1681309860.5157747,1681309863.0868518,2.5710771083831787
2,StartEndTime,1681309868.1224604,1681309870.704282,2.5818216800689697
4,StartEndTime,1681309875.729352,1681309878.6191614,2.8898093700408936
0,StartEndTime,1681309883.645355,1681309886.1842444,2.5388894081115723
2,StartEndTime,1681309891.2048943,1681309894.0589168,2.85402250289917
4,StartEndTime,1681309899.081296,1681309902.0915027,3.010206699371338
